Id,Status,Created at,Updated at,Transaction type,Payment type,Data,Payment data,Deleted at,Piece disponibility
271,3,2016-04-28 13:16:28 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 262}","{""payment"": ""9""}",,0
270,3,2016-04-28 13:14:01 UTC,2016-06-23 13:33:05 UTC,6,1,"{""pass_id"": 12}","{""payment"": ""PAY-72Y49928D1003551FK4RAZAI"", ""buyer"": ""95""}",,0
267,3,2016-04-28 13:09:03 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 260}","{""payment"": ""9""}",,0
259,3,2016-04-28 13:01:31 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 259}","{""payment"": ""9""}",,0
258,3,2016-04-28 12:55:01 UTC,2016-06-23 13:33:05 UTC,6,1,"{""pass_id"": 12}","{""payment"": ""PAY-0RK38559EX1621312K4RAQDA"", ""buyer"": ""94""}",,0
257,0,2016-04-28 12:50:30 UTC,2016-06-23 13:33:05 UTC,2,,"{""piece_id"": 258}",,,0
253,3,2016-04-28 12:35:14 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 256}","{""payment"": ""9""}",,0
252,3,2016-04-28 11:12:00 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 255}","{""payment"": ""12""}",,0
251,3,2016-04-28 11:09:38 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 254}","{""payment"": ""12""}",,0
250,3,2016-04-28 11:07:08 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 253}","{""payment"": ""12""}",,0
249,3,2016-04-28 11:04:59 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 252}","{""payment"": ""12""}",,0
248,3,2016-04-28 11:02:11 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 251}","{""payment"": ""12""}",,0
247,3,2016-04-28 10:59:35 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 250}","{""payment"": ""12""}",,0
246,3,2016-04-28 10:56:53 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 249}","{""payment"": ""12""}",,0
245,3,2016-04-28 10:54:35 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 248}","{""payment"": ""12""}",,0
244,3,2016-04-28 10:52:08 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 247}","{""payment"": ""12""}",,0
243,3,2016-04-28 10:49:01 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 246}","{""payment"": ""12""}",,0
242,3,2016-04-28 10:42:41 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 245}","{""payment"": ""9""}",,0
241,3,2016-04-28 10:39:38 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 244}","{""payment"": ""9""}",,0
240,3,2016-04-28 10:37:22 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 243}","{""payment"": ""9""}",,0
239,3,2016-04-28 10:33:36 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 242}","{""payment"": ""9""}",,0
234,3,2016-04-28 10:28:54 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 241}","{""payment"": ""9""}",,0
233,3,2016-04-28 10:23:04 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 240}","{""payment"": ""9""}",,0
232,3,2016-04-28 10:19:43 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 238}","{""payment"": ""9""}",,0
231,3,2016-04-28 10:17:27 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 237}","{""payment"": ""9""}",,0
230,3,2016-04-28 10:15:19 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 236}","{""payment"": ""9""}",,0
229,3,2016-04-28 10:11:57 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 235}","{""payment"": ""9""}",,0
228,3,2016-04-28 10:09:24 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 234}","{""payment"": ""9""}",,0
227,3,2016-04-28 10:06:58 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 233}","{""payment"": ""9""}",,0
226,3,2016-04-28 10:03:57 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 232}","{""payment"": ""9""}",,0
225,3,2016-04-28 10:00:48 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 231}","{""payment"": ""9""}",,0
221,3,2016-04-28 09:55:44 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 230}","{""payment"": ""9""}",,0
217,3,2016-04-28 09:29:25 UTC,2016-06-23 13:33:05 UTC,6,1,"{""pass_id"": 12}","{""payment"": ""PAY-8BG14549JA488232UK4Q5PXI"", ""buyer"": ""58""}",,0
216,3,2016-04-27 10:18:14 UTC,2016-06-23 13:33:05 UTC,2,2,"{""piece_id"": 229}","{""payment"": ""12""}",,0
215,0,2016-04-27 09:51:52 UTC,2016-06-23 13:33:05 UTC,6,,"{""pass_id"": 9}",,,0
210,3,2016-04-25 14:43:49 UTC,2016-04-25 14:44:08 UTC,6,1,"{""pass_id"": 11}","{""payment"": ""PAY-47B081635L629805FK4PC2GI"", ""buyer"": ""50""}",,0
209,0,2016-04-25 14:43:07 UTC,2016-04-25 14:43:07 UTC,6,,"{""pass_id"": 11}",,,0
201,3,2016-04-21 13:21:52 UTC,2016-06-23 13:33:05 UTC,2,1,"{""piece_id"": 218}","{""payment"": ""PAY-9GU1496160107100YK4MNH5I""}",,0
200,3,2016-04-21 12:54:35 UTC,2016-06-23 13:33:05 UTC,2,1,"{""piece_id"": 217}","{""payment"": ""PAY-4Y5054773L0105922K4MM3CQ""}",,0
